model,scenario,exclude,category,subcategory,Kyoto-GHG|2010 (SAR),baseline,marker,reference,project,median warming at peak (MAGICC6),year of peak warming (MAGICC6),median warming in 2100 (MAGICC6),median warming peak-and-decline (MAGICC6),median warming at peak (FAIR),year of peak warming (FAIR),exceedance year|1.5°C,return year|1.5°C,overshoot years|1.5°C,exceedance severity|1.5°C,exceedance year|2.0°C,return year|2.0°C,overshoot years|2.0°C,minimum net CO2 emissions (Gt CO2/yr),"cumulative CO2 emissions (2016-2100, Gt CO2)","cumulative CCS (2016-2100, Gt CO2)","cumulative BECCS (2016-2100, Gt CO2)","cumulative sequestration land-use (2016-2100, Gt CO2)","cumulative CO2 emissions (2016 to peak warming, Gt CO2)",year of netzero CO2 emissions,"cumulative CO2 emissions (2016 to netzero, Gt CO2)",warming at netzero (MAGICC6),final energy|2100,carbon price|2030,carbon price|2030 (NPV),carbon price|2050,carbon price|2050 (NPV),carbon price|2100,carbon price|2100 (NPV),carbon price|Avg NPV (2030-2100),carbon price|AC NPV (2030-2100),carbon price|CC NPV (2030-2100)
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,FALSE,1.5C low overshoot,Lower 1.5C low overshoot,in range,ADVANCE_NoPolicy,,"Luderer et al., 2018; Vrontisi et al., 2018",ADVANCE,1.537765695,2047,1.235018356,0.302747339,1.243,2035,2036,2055,19,0.473426035,,,,-9.9643564,285.5285437,1033.664691,661.2278209,-227.0199123,649.3298706,2045,650.3389788,1.533621006,524.0021,297.63833,182.7241155,1690.35207,391.1093493,1476.66849,29.79470448,206.7192815,206.8727236,208.1360576
AIM/CGE 2.0,ADVANCE_2020_Med2C,FALSE,Higher 2C,Higher 2C,in range,ADVANCE_NoPolicy,,"Luderer et al., 2018; Vrontisi et al., 2018",ADVANCE,1.965214122,2100,1.965214122,0,1.632,2100,2035,,,,,,,7.7584382,1571.467993,1173.476983,315.024323,-330.7183085,1571.467993,inf,1571.467993,1.965214122,589.9357,218.4149,134.0878019,139.20379,32.20861777,183.52037,3.702886075,32.26383366,29.55086764,30.45345179
AIM/CGE 2.0,ADVANCE_2020_WB2C,FALSE,Lower 2C,Lower 2C,in range,ADVANCE_NoPolicy,,"Luderer et al., 2018; Vrontisi et al., 2018",ADVANCE,1.607854734,2057,1.552965852,0.054888882,1.311,2099,2035,,,,,,,-2.4598946,848.9028175,1103.331555,379.6577385,-365.766272,829.8604667,2088,867.0233889,1.56600303,526.0832,219.34682,134.6599199,411.94901,95.31571091,893.29647,18.02402131,81.65836305,80.27238742,81.14367109
AIM/CGE 2.0,ADVANCE_2030_Med2C,FALSE,Above 2C,Above 2C,in range,ADVANCE_NoPolicy,,"Luderer et al., 2018; Vrontisi et al., 2018",ADVANCE,2.139909813,2100,2.139909813,0,1.778,2100,2032,,,,2081,,,5.2866303,1540.788343,1113.530579,327.0426112,-335.0568274,1540.788343,inf,1540.788343,2.139909813,576.9094,67.54726,41.46815815,255.94822,59.22064613,262.33031,5.293032332,39.57361972,39.42582708,39.7133692
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,FALSE,Lower 2C,Lower 2C,in range,ADVANCE_NoPolicy,,"Luderer et al., 2018; Vrontisi et al., 2018",ADVANCE,1.74239379,2049,1.623373583,0.119020207,1.415,2038,2031,,,,,,,-7.4357386,602.7475277,831.0141875,419.3052421,-357.8378932,877.287421,2051,876.7576556,1.74162697,510.2482,78.64703,48.28245407,1690.35207,391.1093493,1476.66849,29.79470448,196.3047866,199.7068758,200.0672356
AIM/CGE 2.0,ADVANCE_2030_WB2C,FALSE,Lower 2C,Lower 2C,in range,ADVANCE_NoPolicy,,"Luderer et al., 2018; Vrontisi et al., 2018",ADVANCE,1.798546771,2054,1.692414486,0.106132285,1.449,2045,2032,,,,,,,-7.1420107,747.0370107,730.6664595,376.865844,-383.7834864,996.6433471,2054,996.6433471,1.798546771,504.7931,67.54726,41.46815815,910.60046,210.6924112,2468.86772,49.81428439,154.550343,157.8099586,157.9415557
AIM/CGE 2.0,ADVANCE_INDC,FALSE,Above 2C,Above 2C,in range,ADVANCE_NoPolicy,,"Luderer et al., 2018; Vrontisi et al., 2018",ADVANCE,2.670830995,2100,2.670830995,0,2.206,2100,2032,,,,2051,,,13.143612,2518.570119,445.7174574,116.359857,-303.433203,2518.570119,inf,2518.570119,2.670830995,556.1698,73.21215,44.94590921,71.05945,16.44155424,279.202,5.633452014,15.31261515,14.60390637,14.88275128
AIM/CGE 2.0,ADVANCE_NoPolicy,FALSE,Above 2C,Above 2C,in range,,,"Luderer et al., 2018; Vrontisi et al., 2018",ADVANCE,4.15309013,2100,4.15309013,0,3.331,2100,2031,,,,2045,,,34.0188847,5169.687795,,,-225.3880884,5169.687795,inf,5169.687795,4.15309013,718.9629,,,,,,,,,
AIM/CGE 2.0,ADVANCE_Reference,FALSE,Above 2C,Above 2C,in range,ADVANCE_NoPolicy,,"Luderer et al., 2018; Vrontisi et al., 2018",ADVANCE,3.672224893,2100,3.672224893,0,3.005,2100,2032,,,,2047,,,34.0188847,4749.755844,,,-222.0943604,4749.755844,inf,4749.755844,3.672224893,719.9565,10.8812,6.680112894,10.89682,2.52127841,10.23253,0.206461511,1.940158426,1.812147518,1.857371559
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,FALSE,Lower 2C,Lower 2C,in range,SFCM_SSP2_Bio_Baseline,,"Liu et al., 2018",SFCM,1.662507083,2100,1.662507083,0,1.403,2100,2040,,,,,,,6.4521428,1121.65589,,,,1121.65589,inf,1121.65589,1.662507083,482.0096,342.2635,210.1200989,802.0011,185.5649683,1697.8747,34.25797684,143.3230925,141.6311757,142.9692999
